,empty_slots,free_bikes,latitude,longitude,name,timestamp,extra.last_updated,extra.slots
54,4,1,35.649032,139.750147,C1-35.セブン-イレブン 三田駅北店,2024-02-08T18:15:55.398000Z,1707416104,5
55,0,95,35.655497,139.774556,B4-12.THE TOKYO TOWERS,2024-02-08T18:15:54.526000Z,1707416104,95
56,4,1,35.642399,139.746992,C5-21.セブン-イレブン 芝浦3丁目店,2024-02-08T18:15:54.527000Z,1707416104,5
57,1,14,35.69766,139.843408,H1-67.セブン-イレブン 江東亀戸9丁目店,2024-02-08T18:15:54.528000Z,1707416104,15
58,0,15,35.664367,139.737185,C2-15.住友不動産六本木グランドタワー,2024-02-08T18:15:54.529000Z,1707416104,15
59,0,10,35.653608,139.73138,C2-14.元麻布ヒルズ,2024-02-08T18:15:54.530000Z,1707416104,10
60,0,5,35.67323,139.66393,M6-14.ドコモショップ笹塚店,2024-02-08T18:15:54.531000Z,1707416104,5
61,2,10,35.68509,139.671102,N4-07.南台2丁目,2024-02-08T18:15:54.533000Z,1707416104,12
62,6,2,35.580511,139.775957,K1-68.ART FACTORY 城南島,2024-02-08T18:15:56.974000Z,1707416104,8
63,0,4,35.678031,139.837193,H1-178.北砂7丁目団地(第二),2024-02-08T18:15:54.535000Z,1707416104,4
64,3,8,35.678246,139.8366,H1-179.北砂7丁目団地(第三),2024-02-08T18:15:54.535000Z,1707416104,11
65,6,0,35.692605,139.755761,A1-17.雉子橋集積所,2024-02-08T18:15:54.536000Z,1707416104,6
66,0,13,35.678537,139.837391,H1-177.北砂7丁目団地(第一),2024-02-08T18:15:54.510000Z,1707416104,13
67,11,5,35.578259,139.783505,K1-95.城南島海浜公園,2024-02-08T18:15:54.538000Z,1707416104,16
68,7,0,35.66711,139.76643,B3-17.銀座6丁目-SQUARE,2024-02-08T18:15:54.539000Z,1707416104,7
69,12,1,35.629861,139.666293,J1-33.芳窪街かど公園,2024-02-08T18:15:54.540000Z,1707416104,13
70,1,4,35.70442,139.67141,N3-07.なかのZERO,2024-02-08T18:15:54.541000Z,1707416104,5
71,3,9,35.690897,139.668345,N4-04.弥生町5丁目,2024-02-08T18:15:54.542000Z,1707416104,12
